"","TP08A","TP08B","TP08C","TP08D","TP08E","TP08F","TP08G","TP08H","TP08J","TP08M","grp"
"7945",2,1,0,0,0,1,0,2,1,0,2
"7946",6.67,3.33,1.11,7.78,10,2.22,0,8.89,5.56,10,1
"7947",7.78,7.78,7.78,4.44,7.78,7.78,8.89,7.78,7.78,8.89,3
"7948",6,4,4,4,4,5,4,6,5,6,1
"7949",2,0,2,1,0,2,0,2,0,3,2
"7950",8.89,8.89,7.78,7.78,6.67,6.67,6.67,7.78,8.89,8.89,3
"7951",5.56,8.89,10,4.44,6.67,10,7.78,7.78,8.89,10,3
"7952",8.89,8.89,8.89,8.89,10,10,10,10,8.89,10,3
"7953",6.67,6.67,4.44,10,10,6.67,10,10,6.67,10,3
"7954",5.56,3,5.56,7.78,8.89,8.89,8.89,8.89,8.89,10,3
"7955",7,8,7,7,9,9,9,9,7,8,3
"7956",10,9,7,8,8,8,9,8,7,10,3
"7957",10,8.89,4.44,6.67,10,7.78,2.22,1.11,4.44,10,1
"7958",3.33,5.56,7.78,4.44,8.89,6.67,7.78,8.89,8.89,5.56,1
"7959",8,7,8,10,7,7,7,7,10,10,3
"7960",3,0,0,1,1,2,3,3,3,2,2
"7961",0,10,10,4.44,10,6.67,10,10,7.78,0,1
"7962",10,10,10,8.89,10,10,10,10,10,10,3
"7963",6,4,5,5,5,5,4,6,6,5,1
"7964",4,6,4,5,4,6,6,5,6,4,1
"7965",5.56,4.44,3.33,5.56,7.78,5.56,4.44,4.44,6.67,3.33,1
"7966",7,7,9,8,7,9,7,10,10,7,3
"7967",7.78,8.89,7.78,7.78,7.78,8.89,8.89,8.89,6.67,8.89,3
"7968",3.33,0,10,3.33,10,10,10,10,10,10,3
"7969",4,6,5,5,6,4,6,6,6,5,1
"7970",10,3,10,10,10,10,10,10,10,10,3
"7971",5,5,6,4,6,6,4,5,5,4,1
"7972",3,1,1,1,0,0,2,0,0,2,2
"7973",0,3,2,3,1,2,1,1,2,2,2
"7974",1,0,3,2,0,0,2,1,0,2,2
"7975",10,10,10,10,10,10,10,10,10,10,3
"7976",0,0,3,2,1,0,2,3,2,3,2
"7977",10,10,10,10,10,10,10,10,10,10,3
"7978",4,4,5,4,6,4,5,6,5,5,1
"7979",4.44,4.44,4.44,4.44,5.56,4.44,4.44,5.56,4.44,4.44,1
"7980",4.44,7.78,7.78,3.33,8.89,5.56,7.78,7.78,8.89,8.89,3
"7981",4.44,10,10,4.44,6.67,4.44,7.78,10,6.67,10,3
"7982",1.11,8.89,0,4.44,7.78,4.44,4.44,4.44,8.89,0,1
"7983",4.44,10,10,7.78,10,10,10,10,10,7.78,3
"7984",3,2,1,0,0,3,2,3,3,3,2
"7985",0,0,8.89,7.78,6.67,8.89,7.78,10,3.33,1.11,1
"7986",3,0,0,0,1,0,0,2,3,2,2
"7987",5,4,4,6,6,5,5,4,4,6,1
"7988",9,8,9,8,8,8,8,7,7,7,3
"7989",7.78,10,6.67,6.67,10,8.89,8.89,8.89,6.67,8.89,3
"7990",7.78,8.89,10,6.67,10,10,10,8.89,7.78,10,3
"7991",1.11,1.11,1.11,7.78,7.78,7.78,7.78,7.78,7.78,10,1
"7992",10,10,10,10,10,10,10,10,10,10,3
"7993",3,0,2,0,1,2,3,3,2,0,2
"7994",8,7,9,7,8,9,7,10,10,8,3
"7995",5,5,5,6,4,6,5,4,6,4,1
"7996",10,0,0,10,10,0,0,0,10,0,1
"7997",6.67,10,4.44,1.11,10,7.78,8.89,5.56,10,10,3
"7998",4.44,7.78,5.56,7.78,8.89,7.78,7.78,10,7.78,8.89,3
"7999",3,3,0,1,0,3,3,0,3,3,2
"8000",7.78,7.78,7.78,7.78,10,10,10,10,8.89,10,3
"8001",4.44,10,10,1.11,10,10,10,10,6.67,10,3
"8002",1,0,1,0,2,2,2,3,2,1,2
"8003",8.89,7.78,10,8.89,10,10,10,10,7.78,7.78,3
"8004",8.89,8.89,10,10,10,10,10,10,8.89,8.89,3
"8005",10,10,10,10,10,10,10,10,10,10,3
"8006",1.11,3.33,1.11,5.56,7.78,1.11,0,0,2.22,0,2
"8007",4.44,4.44,3.33,4.44,7.78,6.67,5.56,6.67,6.67,5.56,1
"8008",10,10,10,5.56,5.56,5.56,5.56,5.56,5.56,0,1
"8009",10,10,4.44,5.56,10,7.78,10,10,4.44,7.78,3
"8010",4.44,7.78,7.78,10,10,10,10,10,10,10,3
"8011",6.67,6.67,7.78,8.89,7.78,7.78,6.67,7.78,6.67,7.78,3
"8012",10,10,7.78,5.56,8.89,8.89,10,8.89,8.89,8.89,3
"8013",8.89,7.78,7.78,6.67,10,7.78,8.89,7.78,8.89,6.67,3
"8014",10,10,10,10,10,10,10,10,10,10,3
"8015",6,6,6,6,6,6,6,5,6,6,1
"8016",0,2,2,2,3,3,1,0,2,2,2
"8017",6.67,6.67,7.78,10,10,6.67,5.56,10,10,4.44,3
"8018",2,0,2,0,0,3,3,2,3,3,2
"8019",7.78,10,7.78,7.78,10,7.78,8.89,10,7.78,10,3
"8020",8.89,7.78,8.89,6.67,10,10,10,10,8.89,10,3
"8021",1.11,10,7.78,2.22,10,7.78,7.78,7.78,6.67,4.44,1
"8022",3,3,3,3,1,0,0,1,0,3,2
"8023",6.67,10,10,4.44,10,7.78,7.78,8.89,7.78,4.44,3
"8024",8.89,8.89,10,6.67,8.89,8.89,8.89,8.89,8.89,8.89,3
"8025",10,10,10,10,10,10,10,10,10,10,3
"8026",7.78,10,10,6.67,7.78,7.78,7.78,10,7.78,6.67,3
"8027",0,2.22,4.44,6.67,0,0,1.11,1.11,3.33,0,2
"8028",4.44,7.78,3.33,0,7.78,7.78,7.78,7.78,7.78,3.33,1
"8029",10,10,10,10,10,10,10,10,10,10,3
"8030",6.67,7.78,7.78,8.89,8.89,7.78,6.67,6.67,7.78,4.44,3
"8031",5.56,10,10,10,10,10,10,10,10,10,3
"8032",5,4,6,6,6,6,5,4,6,5,1
"8033",6,6,6,4,4,6,5,5,6,4,1
"8034",4.44,6.67,2.22,4.44,6.67,4.44,4.44,5.56,6.67,3.33,1
"8035",7.78,10,10,8.89,10,10,10,10,10,7.78,3
"8036",10,10,10,6.67,10,10,10,10,10,10,3
"8037",8.89,8.89,8.89,7.78,8.89,8.89,8.89,8.89,8.89,8.89,3
"8038",5.56,3.33,7.78,3.33,8.89,7.78,7.78,6.67,7.78,7.78,1
"8039",8,8,9,9,10,7,10,10,8,10,3
"8040",10,10,7.78,7.78,10,10,7.78,10,7.78,8.89,3
"8041",10,10,10,10,10,10,10,10,10,10,3
"8042",10,10,10,7.78,10,10,10,10,10,10,3
"8043",3.33,3.33,3.33,3.33,8.89,6.67,7.78,5.56,6.67,5.56,1
"8044",0,3,2,1,0,0,0,0,2,0,2
"8045",10,10,10,4.44,10,10,10,10,10,10,3
"8046",0,2,2,1,3,1,0,2,2,1,2
"8047",3.33,10,10,7.78,10,6.67,2.22,8.89,8.89,0,1
"8048",10,10,10,8.89,10,10,10,10,8.89,10,3
"8049",0,1,3,2,1,0,1,1,1,1,2
"8050",10,10,10,10,10,10,10,10,10,10,3
"8051",0,10,5.56,7.78,10,10,10,10,4.44,10,3
"8052",3.33,4.44,7.78,3.33,6.67,5.56,2.22,6.67,5.56,4.44,1
"8053",0,2,2,3,1,0,0,1,2,1,2
"8054",4,6,5,4,6,6,4,4,5,4,1
"8055",7.78,10,8.89,8.89,10,10,10,8.89,10,7.78,3
"8056",3.33,4.44,4.44,2.22,6.67,4.44,4.44,4.44,4.44,1.11,1
"8057",8.89,8.89,8.89,7.78,6.67,7.78,10,7.78,5.56,5.56,3
"8058",6,6,4,6,4,5,5,4,6,5,1
"8059",4.44,7.78,7.78,3.33,8.89,7.78,6.67,4.44,7.78,4.44,1
"8060",1,0,0,0,2,2,2,2,2,3,2
"8061",8,7,8,10,8,7,8,8,8,10,3
"8062",10,7.78,6.67,10,7.78,5.56,6.67,7.78,5.56,6.67,3
"8063",8.89,7.78,5.56,4.44,7.78,4.44,7.78,6.67,7.78,7.78,1
"8064",1,1,1,2,2,1,2,2,2,3,2
"8065",7.78,10,7.78,0,10,4.44,7.78,10,4.44,7.78,1
"8066",6,4,6,5,5,5,5,5,5,5,1
"8067",7.78,10,10,4.44,10,10,10,10,10,10,3
"8068",8.89,10,10,5.56,8.89,7.78,7.78,7.78,8.89,10,3
"8069",4,4,4,5,6,6,5,5,5,6,1
"8070",10,7.78,10,5.56,10,10,7.78,10,10,2.22,3
"8071",1,0,0,3,3,3,3,2,1,3,2
"8072",10,10,10,10,8.89,10,8.89,7.78,10,8.89,3
"8073",8.89,1.11,7.78,7.78,8.89,7.78,8.89,10,5.56,6.67,3
"8074",7.78,4.44,7.78,3.33,7.78,8.89,8.89,7.78,6.67,8.89,3
"8075",10,10,10,10,10,10,10,10,10,10,3
"8076",5.56,7.78,7.78,5.56,7.78,5.56,7.78,7.78,7.78,7.78,3
"8077",0,3,3,0,0,2,0,2,3,2,2
"8078",8.89,7.78,10,4.44,10,8.89,8.89,10,6.67,7.78,3
"8079",5,5,4,5,6,4,4,6,5,6,1
"8080",10,7.78,7.78,8.89,10,10,10,10,8.89,8.89,3
"8081",1,1,0,0,1,1,2,2,1,2,2
"8082",7.78,10,7.78,7.78,10,10,10,10,7.78,10,3
"8083",8.89,10,10,2.22,10,10,10,8.89,10,10,3
"8084",6.67,7.78,8.89,6.67,8.89,8.89,10,8.89,10,8.89,3
"8085",0,3.33,1.11,0,4.44,5.56,3.33,4.44,1.11,0,2
"8086",8.89,10,8.89,7.78,10,10,10,10,10,10,3
"8087",10,10,10,10,10,10,10,10,10,10,3
"8088",1.11,4.44,3.33,0,7.78,4.44,1.11,5.56,2.22,4.44,1
"8089",7.78,8.89,6.67,10,10,8.89,10,8.89,5.56,8.89,3
"8090",10,10,10,7.78,10,10,10,10,10,10,3
"8091",10,7.78,10,10,10,10,7.78,10,10,10,3
"8092",10,10,10,10,10,10,10,10,10,10,3
"8093",7,8,8,7,9,9,9,8,10,9,3
"8094",5.56,10,10,4.44,10,8.89,7.78,10,6.67,4.44,3
"8095",5.56,3,7.78,10,7.78,10,10,10,10,8.89,3
"8096",8.89,10,8.89,8.89,10,10,10,10,8.89,10,3
"8097",6,5,4,5,4,6,5,6,4,6,1
"8098",5,5,4,5,4,5,6,4,4,4,1
"8099",10,10,10,10,10,7.78,4.44,7.78,10,2.22,3
"8100",8.89,8.89,10,7.78,8.89,10,10,10,10,10,3
"8101",7,10,7,8,10,8,7,10,7,10,3
"8102",5,4,5,4,5,6,4,4,5,4,1
"8103",5,4,6,5,6,5,6,5,5,4,1
"8104",1,2,2,1,3,3,1,1,0,1,2
"8105",0,1,1,2,1,2,3,3,0,0,2
"8106",10,10,10,4.44,10,10,10,10,4.44,10,3
"8107",10,7.78,10,6.67,8.89,10,10,10,10,10,3
"8108",2,2,0,2,0,2,3,0,1,1,2
"8109",1.11,2.22,1.11,3.33,10,4.44,4.44,8.89,8.89,8.89,1
"8110",10,10,10,8.89,10,10,10,10,7.78,10,3
"8111",0,0,2,3,1,3,2,0,3,2,2
"8112",2.22,5.56,10,1.11,7.78,4.44,5.56,7.78,7.78,1.11,1
"8113",8,8,10,10,10,7,9,7,7,8,3
"8114",8.89,8.89,8.89,7.78,10,10,10,8.89,8.89,10,3
"8115",10,10,10,7.78,10,10,10,10,10,10,3
"8116",7.78,7.78,5.56,4.44,7.78,5.56,7.78,10,3.33,10,1
"8117",2.22,7.78,10,1.11,10,10,7.78,10,7.78,10,3
"8118",4.44,8.89,6.67,2.22,6.67,7.78,7.78,7.78,7.78,7.78,1
"8119",9,7,7,9,10,9,10,7,10,7,3
"8120",2,0,3,2,3,2,2,1,0,2,2
"8121",5.56,6.67,3.33,5.56,6.67,6.67,7.78,7.78,6.67,8.89,1
"8122",5.56,5.56,7.78,10,6.67,10,10,10,10,0,3
"8123",10,9,9,7,10,10,9,8,10,9,3
"8124",0,0,10,4.44,8.89,10,10,8.89,8.89,10,3
"8125",7.78,10,7.78,7.78,10,8.89,10,10,10,10,3
"8126",5.56,7.78,6.67,4.44,6.67,8.89,7.78,7.78,7.78,6.67,1
"8127",7.78,4.44,10,4.44,10,5.56,7.78,5.56,7.78,10,3
"8128",5,4,5,6,6,6,5,4,6,4,1
"8129",10,10,10,10,10,10,10,10,10,10,3
"8130",7.78,6.67,5.56,3.33,8.89,4.44,2.22,1.11,6.67,7.78,1
"8131",10,0,10,10,10,10,10,10,4.44,10,3
"8132",7.78,10,7.78,8.89,8.89,10,10,10,10,8.89,3
"8133",7.78,10,8.89,7.78,8.89,5.56,6.67,8.89,6.67,7.78,3
"8134",10,10,10,10,10,10,10,10,10,10,3
"8135",10,8.89,10,6.67,10,10,10,10,10,10,3
"8136",7.78,4.44,3.33,3.33,8.89,6.67,5.56,6.67,7.78,7.78,1
"8137",7.78,10,10,5.56,10,8.89,10,8.89,5.56,10,3
"8138",2,1,1,2,1,0,3,1,1,3,2
"8139",3.33,4.44,4.44,4.44,5.56,6.67,5.56,6.67,4.44,7.78,1
"8140",4.44,6.67,5.56,4.44,3.33,4.44,3.33,5.56,3.33,4.44,1
"8141",5,4,6,5,6,5,4,4,5,6,1
"8142",2.22,2.22,6.67,5.56,8.89,8.89,8.89,8.89,7.78,7.78,1
"8143",0,2.22,1.11,0,7.78,6.67,4.44,4.44,7.78,0,1
"8144",10,10,10,10,10,8.89,10,10,10,7.78,3
"8145",10,8.89,10,6.67,10,10,6.67,10,10,10,3
"8146",7.78,8.89,10,8.89,10,8.89,8.89,10,10,10,3
"8147",3,2,3,2,0,3,0,0,0,0,2
"8148",9,9,7,10,7,10,10,7,7,9,3
"8149",3.33,5.56,6.67,0,6.67,4.44,3.33,2.22,5.56,5.56,1
"8150",7.78,4.44,4.44,6.67,5.56,5.56,4.44,7.78,6.67,4.44,1
"8151",6,4,4,5,4,5,5,5,5,5,1
"8152",8,8,8,8,9,8,8,7,7,9,3
"8153",5,6,6,5,5,5,6,6,5,5,1
"8154",7.78,10,10,6.67,10,8.89,7.78,10,10,10,3
"8155",4.44,10,10,7.78,10,10,10,10,8.89,10,3
"8156",5.56,5.56,10,6.67,10,10,8.89,10,6.67,4.44,3
"8157",7.78,10,10,10,10,10,10,10,10,10,3
"8158",3.33,5.56,3.33,4.44,5.56,5.56,5.56,4.44,4.44,7.78,1
"8159",4.44,10,5.56,3.33,7.78,7.78,4.44,4.44,7.78,1.11,1
"8160",10,7.78,10,6.67,10,10,10,10,6.67,6.67,3
"8161",6,4,6,4,4,6,4,6,5,4,1
"8162",0,3,2,3,2,3,2,0,3,3,2
"8163",10,10,10,7.78,10,10,10,8.89,10,10,3
"8164",7.78,8.89,0,0,7.78,7.78,8.89,7.78,8.89,8.89,1
"8165",3,2,1,2,0,0,1,3,3,2,2
"8166",2.22,6.67,4.44,0,10,10,10,10,7.78,10,3
"8167",10,10,10,7.78,10,8.89,8.89,10,10,10,3
"8168",10,10,7.78,8.89,10,10,8.89,10,8.89,10,3
"8169",4,6,5,6,4,5,6,6,4,5,1
"8170",10,10,10,10,10,10,10,10,10,10,3
"8171",7.78,7.78,7.78,6.67,10,10,10,10,7.78,10,3
"8172",10,8,9,8,7,8,7,8,8,9,3
"8173",10,10,10,10,10,10,10,10,10,10,3
"8174",4,4,5,4,4,4,6,6,4,4,1
"8175",2,0,1,0,3,0,2,0,2,2,2
"8176",8.89,7.78,6.67,4.44,10,8.89,5.56,4.44,6.67,3.33,1
"8177",5.56,7.78,6.67,4.44,8.89,7.78,8.89,7.78,7.78,8.89,3
"8178",10,10,5.56,7.78,10,10,10,10,10,0,3
"8179",8,8,8,7,8,8,8,9,7,10,3
"8180",6.67,7.78,6.67,6.67,8.89,8.89,8.89,7.78,7.78,6.67,3
"8181",10,10,10,10,10,10,10,10,10,10,3
"8182",2.22,3,0,8.89,8.89,7.78,8.89,8.89,8.89,10,1
"8183",2.22,8.89,10,6.67,10,10,10,10,10,10,3
"8184",2.22,10,8.89,6.67,8.89,8.89,10,6.67,10,7.78,3
"8185",2,0,2,0,1,3,1,1,2,0,2
"8186",2,1,0,1,1,3,0,1,3,0,2
"8187",10,7.78,7.78,10,10,10,10,7.78,10,10,3
"8188",1,1,3,3,2,0,3,0,3,3,2
"8189",6.67,6.67,5.56,7.78,7.78,8.89,7.78,7.78,7.78,7.78,3
"8190",4.44,8.89,8.89,8.89,8.89,8.89,2.22,4.44,8.89,4.44,1
"8191",8,9,10,10,9,9,7,8,9,8,3
"8192",7.78,7.78,10,7.78,10,10,8.89,10,10,10,3
"8193",4.44,10,2.22,4.44,10,10,10,10,10,10,3
"8194",10,10,8.89,2.22,10,8.89,10,8.89,7.78,6.67,3
"8195",0,0,0,0,0,4.44,0,1.11,3.33,0,2
"8196",5,5,6,6,4,6,5,6,5,6,1
"8197",10,10,10,10,10,10,10,10,10,10,3
"8198",4.44,5.56,7.78,3.33,10,8.89,7.78,10,7.78,7.78,3
"8199",2.22,2.22,2.22,0,4.44,2.22,2.22,4.44,1.11,4.44,2
"8200",4.44,4.44,4.44,3.33,10,5.56,6.67,10,4.44,8.89,1
"8201",0,10,4.44,2.22,6.67,4.44,4.44,0,2.22,4.44,1
"8202",6.67,10,6.67,7.78,10,10,8.89,10,7.78,10,3
"8203",10,10,10,7.78,10,10,10,10,7.78,10,3
"8204",3,3,1,1,1,1,0,2,0,3,2
"8205",1,0,1,3,0,1,3,0,3,1,2
"8206",10,7.78,10,7.78,10,10,7.78,7.78,7.78,2.22,3
"8207",7.78,8.89,8.89,7.78,10,10,10,10,8.89,10,3
"8208",4,6,6,4,4,4,4,6,5,5,1
"8209",5.56,4.44,3.33,4.44,5.56,4.44,6.67,4.44,4.44,6.67,1
"8210",1.11,6.67,6.67,0,7.78,8.89,0,6.67,7.78,0,1
"8211",9,9,7,10,9,10,9,8,8,8,3
"8212",4.44,1.11,3.33,7.78,0,5.56,1.11,2.22,10,8.89,1
"8213",0,3,2,0,3,1,1,0,2,1,2
"8214",7.78,10,10,10,10,10,10,10,10,10,3
"8215",1,2,0,2,3,1,1,3,1,0,2
"8216",4,5,4,5,5,6,6,5,5,4,1
"8217",5.56,5.56,5.56,7.78,10,6.67,10,7.78,8.89,7.78,3
"8218",9,9,8,9,8,10,8,8,7,8,3
"8219",5,5,4,4,5,6,4,6,4,5,1
"8220",1.11,10,6.67,4.44,8.89,7.78,2.22,10,6.67,7.78,1
"8221",4.44,4.44,4.44,4.44,6.67,6.67,6.67,6.67,4.44,6.67,1
"8222",7.78,7.78,4.44,5.56,10,10,10,7.78,10,10,3
"8223",7.78,7.78,4.44,8.89,10,10,10,10,8.89,10,3
"8224",10,10,10,10,10,10,10,10,10,10,3
"8225",4.44,10,10,6.67,10,10,10,10,10,10,3
"8226",4.44,7.78,8.89,10,10,8.89,10,10,10,10,3
"8227",3,0,1,3,1,2,2,2,1,3,2
"8228",7.78,8.89,8.89,6.67,8.89,8.89,4.44,6.67,5.56,8.89,3
"8229",4.44,5.56,7.78,6.67,7.78,7.78,0,1.11,3.33,4.44,1
"8230",10,8.89,7.78,5.56,10,7.78,10,10,7.78,10,3
"8231",4.44,7.78,5.56,3.33,6.67,3.33,2.22,3.33,4.44,1.11,1
"8232",8.89,7.78,7.78,6.67,8.89,7.78,7.78,8.89,7.78,10,3
"8233",10,10,10,10,10,10,10,10,10,10,3
"8234",3,0,1,0,2,1,0,0,0,2,2
"8235",3.33,6.67,5.56,3.33,7.78,7.78,7.78,6.67,5.56,2.22,1
"8236",4.44,6.67,6.67,3.33,7.78,5.56,4.44,5.56,4.44,4.44,1
"8237",10,10,10,10,10,10,10,10,10,10,3
"8238",8.89,10,10,7.78,10,10,10,8.89,7.78,10,3
"8239",7.78,8.89,10,6.67,8.89,8.89,8.89,7.78,7.78,8.89,3
"8240",10,9,7,9,10,8,10,7,7,9,3
"8241",5.56,7.78,6.67,2.22,8.89,10,10,10,8.89,10,3
"8242",3,0,1,0,0,3,2,1,1,2,2
"8243",10,10,10,10,10,10,10,10,8.89,10,3
"8244",2.22,1.11,3.33,1.11,4.44,1.11,1.11,2.22,2.22,2.22,2
"8245",10,10,8.89,10,10,10,10,10,7.78,10,3
"8246",0,4.44,4.44,0,0,1.11,0,1.11,0,5.56,2
"8247",0,2,2,1,3,0,1,2,0,0,2
"8248",0,1,0,1,2,0,2,2,3,0,2
"8249",4.44,4.44,2.22,10,10,10,10,10,10,10,3
"8250",8,9,10,8,7,7,8,8,10,7,3
"8251",2,3,3,1,3,1,0,3,0,1,2
"8252",6,6,4,5,5,4,4,4,4,5,1
"8253",4,6,6,5,6,6,4,4,5,5,1
"8254",7.78,8.89,8.89,10,10,10,10,10,10,7.78,3
"8255",7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,3
"8256",7.78,6.67,10,4.44,10,10,7.78,10,10,10,3
"8257",10,8,10,7,8,10,8,7,9,9,3
"8258",8.89,8.89,8.89,6.67,8.89,8.89,10,8.89,8.89,8.89,3
"8259",7.78,4.44,4.44,5.56,10,7.78,6.67,7.78,2.22,7.78,1
"8260",4.44,7.78,8.89,5.56,7.78,4.44,6.67,6.67,5.56,4.44,1
"8261",9,9,9,10,8,9,10,9,10,7,3
"8262",6.67,7.78,7.78,5.56,8.89,7.78,7.78,8.89,7.78,8.89,3
"8263",10,10,10,4.44,10,10,10,10,7.78,10,3
"8264",7.78,10,7.78,7.78,10,10,6.67,7.78,7.78,6.67,3
"8265",7.78,10,7.78,7.78,7.78,10,10,7.78,10,10,3
"8266",5,4,5,6,4,5,6,6,6,4,1
"8267",5.56,6.67,10,1.11,10,10,10,10,3.33,5.56,3
"8268",10,10,10,10,10,10,10,10,10,10,3
"8269",0,7.78,4.44,2.22,10,10,10,10,7.78,10,3
"8270",7.78,8.89,8.89,8.89,7.78,8.89,8.89,8.89,7.78,7.78,3
"8271",7.78,10,8.89,10,10,10,10,10,10,10,3
"8272",3.33,7.78,10,8.89,10,10,10,10,10,7.78,3
"8273",4,5,5,4,6,6,6,5,6,5,1
"8274",2,2,0,3,3,2,0,2,0,2,2
"8275",5,6,6,4,4,6,4,6,5,5,1
"8276",10,10,7.78,4.44,10,8.89,10,8.89,8.89,10,3
"8277",5,4,4,6,5,4,4,5,6,6,1
"8278",2,0,1,3,1,2,2,0,1,1,2
"8279",8.89,8.89,7.78,7.78,10,7.78,7.78,5.56,6.67,5.56,3
"8280",4,6,6,4,5,4,5,6,5,6,1
"8281",5.56,5.56,5.56,6.67,6.67,5.56,6.67,5.56,4.44,2.22,1
"8282",10,10,10,10,8,7,9,7,8,9,3
"8283",6.67,6.67,7.78,0,0,0,0,0,0,0,2
"8284",2,0,0,1,0,0,3,0,2,0,2
"8285",7.78,10,8.89,5.56,8.89,4.44,3.33,3.33,4.44,3.33,1
"8286",4.44,5.56,5.56,6.67,10,2.22,7.78,6.67,2.22,0,1
"8287",0,10,10,10,10,8.89,6.67,7.78,8.89,7.78,3
"8288",10,7,9,8,10,9,7,7,7,9,3
"8289",0,8.89,8.89,5.56,10,10,8.89,8.89,8.89,10,3
"8290",5.56,10,7.78,7.78,10,4.44,7.78,6.67,6.67,0,1
"8291",4,6,4,6,4,6,4,4,5,5,1
"8292",2,1,3,1,3,3,1,3,2,1,2
"8293",10,7.78,4.44,7.78,10,10,10,7.78,10,7.78,3
"8294",5,5,5,5,5,4,6,6,4,4,1
"8295",10,10,10,8.89,10,10,10,10,10,10,3
"8296",5.56,8.89,6.67,5.56,8.89,7.78,6.67,7.78,7.78,6.67,3
"8297",7,7,10,9,9,9,9,8,10,9,3
"8298",8.89,8.89,10,4.44,8.89,7.78,10,7.78,10,7.78,3
"8299",9,8,10,10,8,10,9,10,10,8,3
"8300",9,10,9,9,9,9,9,8,9,10,3
"8301",0,4.44,0,0,10,10,10,10,7.78,10,1
"8302",6,6,5,5,4,5,6,5,5,4,1
"8303",5,6,4,5,4,4,4,5,4,5,1
"8304",2,0,2,1,1,1,0,0,2,0,2
"8305",7.78,10,10,6.67,10,10,10,10,10,10,3
"8306",0,7.78,8.89,0,10,4.44,0,8.89,8.89,0,1
"8307",10,10,8,10,8,7,10,8,7,7,3
"8308",6.67,8.89,7.78,6.67,8.89,8.89,8.89,10,6.67,10,3
"8309",4.44,7.78,10,7.78,10,10,10,10,8.89,10,3
"8310",3,1,0,3,3,0,3,0,3,3,2
"8311",8.89,8.89,10,7.78,8.89,8.89,7.78,8.89,7.78,8.89,3
"8312",2.22,8.89,0,8.89,10,10,10,10,10,10,3
"8313",8.89,10,8.89,7.78,10,8.89,8.89,8.89,8.89,10,3
"8314",2.22,4.44,7.78,1.11,4.44,0,0,0,2.22,0,2
"8315",3,3,1,0,2,3,0,0,1,0,2
"8316",4.44,4.44,2.22,1.11,4.44,5.56,4.44,4.44,6.67,3.33,1
"8317",8.89,10,8.89,7.78,8.89,7.78,7.78,7.78,8.89,0,3
"8318",10,10,10,8.89,10,8.89,8.89,10,8.89,7.78,3
"8319",10,10,7.78,6.67,8.89,7.78,8.89,7.78,6.67,8.89,3
"8320",6.67,10,4.44,5.56,7.78,6.67,4.44,5.56,6.67,1.11,1
"8321",5.56,5.56,10,4.44,5.56,5.56,6.67,4.44,5.56,5.56,1
"8322",7,9,10,10,7,9,7,10,7,9,3
"8323",6.67,7.78,10,8.89,10,10,10,8.89,7.78,10,3
"8324",10,8.89,10,10,7.78,7.78,4.44,7.78,7.78,4.44,3
"8325",1,2,1,0,1,3,1,1,3,0,2
"8326",7.78,8.89,10,4.44,10,7.78,6.67,8.89,7.78,4.44,3
"8327",10,10,10,4.44,10,10,10,10,10,10,3
"8328",5,6,6,4,5,5,6,6,5,4,1
"8329",4.44,6.67,4.44,5.56,7.78,6.67,6.67,6.67,5.56,6.67,1
"8330",10,10,10,7.78,10,10,8.89,10,10,8.89,3
"8331",7.78,10,10,8.89,7.78,7.78,10,5.56,8.89,6.67,3
"8332",10,10,10,10,10,10,10,10,10,10,3
"8333",7.78,8.89,10,6.67,8.89,7.78,7.78,6.67,8.89,5.56,3
"8334",9,8,9,8,9,7,10,9,9,10,3
"8335",10,8.89,10,8.89,10,8.89,8.89,8.89,10,10,3
"8336",10,7.78,7.78,10,10,10,10,10,10,4.44,3
"8337",7.78,10,7.78,7.78,4.44,10,6.67,10,8.89,7.78,3
"8338",7.78,7.78,8.89,3.33,10,7.78,10,10,7.78,10,3
"8339",8,9,10,9,7,9,10,8,9,9,3
"8340",8,7,9,9,8,7,9,8,8,7,3
"8341",8.89,8.89,6.67,10,10,10,8.89,10,8.89,10,3
"8342",4.44,8.89,8.89,7.78,10,8.89,8.89,10,10,10,3
"8343",6.67,10,4.44,1.11,8.89,7.78,0,4.44,8.89,7.78,1
"8344",1.11,8.89,8.89,5.56,10,10,10,8.89,10,10,3
"8345",5.56,3,7.78,7.78,8.89,8.89,6.67,7.78,7.78,3.33,1
"8346",0,10,4.44,0,4.44,2.22,4.44,4.44,4.44,0,1
"8347",4.44,7.78,4.44,1.11,7.78,7.78,6.67,7.78,4.44,7.78,1
"8348",8,7,10,9,9,10,9,10,7,7,3
"8349",3.33,6.67,6.67,2.22,7.78,7.78,4.44,6.67,6.67,7.78,1
"8350",1,3,0,0,2,2,2,3,2,0,2
"8351",7.78,6.67,7.78,5.56,10,8.89,7.78,8.89,7.78,10,3
"8352",7.78,7.78,10,7.78,10,10,8.89,8.89,6.67,7.78,3
"8353",7.78,8.89,7.78,6.67,8.89,7.78,10,8.89,8.89,7.78,3
"8354",6.67,5.56,7.78,8.89,8.89,7.78,6.67,8.89,7.78,5.56,3
"8355",7.78,7.78,8.89,7.78,8.89,8.89,8.89,8.89,7.78,8.89,3
"8356",6,4,4,4,6,4,6,5,5,5,1
"8357",7.78,10,10,10,10,10,10,10,10,10,3
